start_station,electric_count,standard_count,electric_to_standard_ratio,Latitude,Longitude
3283,4,0.0,inf,,
3272,641,60.0,10.683333333333334,39.96405,-75.22048
3306,338,32.0,10.5625,39.99683,-75.17761
3338,848,92.0,9.217391304347826,39.95098,-75.23035
3310,899,152.0,5.914473684210527,39.98024,-75.18651
3243,989,173.0,5.716763005780347,39.9835,-75.14743
3268,655,135.0,4.851851851851852,39.97633,-75.15101
3247,466,104.0,4.480769230769231,39.9653827,-75.2150414
3348,1081,247.0,4.376518218623482,,
3374,4267,1040.0,4.102884615384616,39.9727792,-75.1791086
3351,184,46.0,4.0,39.99655,-75.14991
3315,418,105.0,3.980952380952381,39.94235,-75.21138
3277,1048,268.0,3.91044776119403,39.98306,-75.16738
3390,468,125.0,3.744,39.96000914,-75.22440932
3240,251,68.0,3.691176470588236,39.96277,-75.21185
3287,971,266.0,3.650375939849624,39.94367,-75.21606
3246,1946,536.0,3.630597014925373,39.94782,-75.22301
3392,594,164.0,3.6219512195121952,39.93633,-75.19447
3120,4400,1225.0,3.591836734693877,39.97522,-75.18669
3196,340,97.0,3.5051546391752577,39.98717,-75.17477
3211,2093,630.0,3.3222222222222224,39.97172,-75.1706
3204,4537,1373.0,3.304442825928624,39.96459614,-75.16573997
3350,781,243.0,3.213991769547325,39.99415,-75.15527
3107,1125,355.0,3.1690140845070425,39.98203,-75.18866
3368,791,251.0,3.151394422310757,39.9764605,-75.1735994
3000,63,20.0,3.15,,
3376,1620,520.0,3.1153846153846154,39.97183,-75.14878
3317,468,153.0,3.0588235294117645,,
3119,1365,447.0,3.053691275167785,39.9667713,-75.2079481
3008,2286,749.0,3.052069425901202,39.98081,-75.15067
3241,1338,443.0,3.020316027088036,39.95225,-75.22637
3309,3,1.0,3.0,,
3017,2577,865.0,2.9791907514450866,39.98003,-75.14371
3365,4059,1371.0,2.9606126914660837,39.96173581,-75.18787687
3115,1733,613.0,2.8270799347471454,39.9726361,-75.16757025
3278,195,69.0,2.8260869565217392,39.99301,-75.1681
3117,635,226.0,2.809734513274336,39.9784055,-75.2239938
3399,73,26.0,2.8076923076923075,39.975011,-75.1399684
3332,314,112.0,2.8035714285714284,40.00537,-75.18143
3123,924,331.0,2.7915407854984893,39.98004,-75.17088
3353,742,268.0,2.7686567164179103,40.00496703,-75.15233605
3226,1201,441.0,2.723356009070294,39.98101,-75.13721
3352,445,165.0,2.696969696969697,40.00143,-75.15256
3409,16,6.0,2.6666666666666665,39.95509197,-75.15128537
3342,3812,1434.0,2.6582984658298465,39.9639,-75.17385
3051,6755,2588.0,2.610123647604328,39.96744,-75.17507
3281,491,190.0,2.5842105263157893,39.9324479,-75.2162075
3387,1458,584.0,2.496575342465753,39.97012,-75.14666
3016,1053,427.0,2.4660421545667446,39.96893076,-75.15469877
3258,1360,554.0,2.454873646209386,39.95828,-75.22424
3282,240,99.0,2.4242424242424243,39.98628,-75.14925
3271,556,233.0,2.3862660944206007,39.9476,-75.22946
3160,4597,1952.0,2.3550204918032787,39.9566414,-75.198869
3408,54,23.0,2.347826086956522,39.9216537,-75.1500628
3020,9787,4201.0,2.329683408712212,39.9478438,-75.1903818
3305,291,127.0,2.2913385826771653,39.99569,-75.1671
3067,1320,584.0,2.26027397260274,39.96415551,-75.19973091
3361,5289,2361.0,2.2401524777636594,39.93085098,-75.1747301
3366,310,141.0,2.198581560283688,,
3024,1750,796.0,2.198492462311558,39.95486966,-75.18322811
3284,515,235.0,2.191489361702128,40.01112,-75.19287
3038,7218,3311.0,2.1800060404711568,39.9476181,-75.1944141
3254,1762,810.0,2.1753086419753087,39.9810242,-75.160633
3040,5046,2366.0,2.132713440405748,39.96289,-75.16606
3253,1041,489.0,2.128834355828221,39.93074529,-75.18924614
3035,4256,2025.0,2.1017283950617283,39.96271,-75.19419
3058,6084,2897.0,2.10010355540214,39.9671425,-75.1700305
3161,8032,3835.0,2.094393741851369,39.9548888,-75.1808956
3357,1426,687.0,2.0756914119359533,39.9104,-75.16588
3381,1264,609.0,2.0755336617405584,39.94845,-75.21807
3065,900,446.0,2.0179372197309418,39.9706807,-75.1516833
3039,2176,1081.0,2.0129509713228493,39.9716278,-75.159943
3329,581,289.0,2.01038062283737,40.0265716,-75.2246069
3407,40,20.0,2.0,39.9785,-75.13911
3073,3227,1616.0,1.9969059405940597,39.96143,-75.15242
3053,5422,2719.0,1.994115483633689,39.9323324,-75.181495
3200,1292,649.0,1.9907550077041605,39.97583,-75.16846
3152,1516,771.0,1.9662775616083008,39.94993319,-75.20286322
3391,176,91.0,1.934065934065934,39.99667,-75.23482
3320,1886,976.0,1.932377049180328,39.9746,-75.15917
3249,2994,1555.0,1.92540192926045,39.95784,-75.19079
3336,3570,1856.0,1.9234913793103448,39.95719,-75.19388
3159,4613,2427.0,1.9007004532344456,39.95121,-75.19962
3280,239,126.0,1.8968253968253967,39.93968,-75.21362
3208,8791,4635.0,1.896655879180151,39.950435,-75.193258
3307,127,67.0,1.8955223880597012,40.0029245,-75.1740367
3276,2114,1118.0,1.89087656529517,39.96569,-75.15679
3345,3236,1714.0,1.887981330221704,39.9617,-75.14667
3286,2339,1251.0,1.8697042366107115,39.96409,-75.14769
3252,2320,1241.0,1.869460112812248,39.93882,-75.19324
3372,450,241.0,1.867219917012448,39.92528,-75.18672
3251,821,440.0,1.865909090909091,39.93366,-75.19319
3235,3415,1835.0,1.8610354223433243,39.96028,-75.164917
3325,965,524.0,1.8416030534351144,39.9768,-75.12764
3118,1342,735.0,1.8258503401360544,39.9593537,-75.21343227
3075,4273,2363.0,1.8082945408379176,39.96805065,-75.16131604
3112,2243,1246.0,1.8001605136436598,39.95373,-75.21825
3337,2377,1329.0,1.7885628291948834,39.9731084,-75.146095
3257,1435,807.0,1.77819083023544,,
3072,3767,2124.0,1.7735404896421845,39.93445,-75.14541
3114,4450,2564.0,1.7355694227769112,39.937669,-75.1801611
3006,3645,2125.0,1.7152941176470589,39.9522,-75.20311
3168,5616,3280.0,1.7121951219512197,39.9513524,-75.173907
3012,7804,4559.0,1.7117788988813336,39.9421844,-75.1773685
3026,5718,3359.0,1.702292348913367,39.9418424,-75.1454843
3097,2439,1448.0,1.6843922651933705,39.97890721,-75.13340121
3028,8419,5003.0,1.6827903258045174,39.9406414,-75.1495768
3032,11275,6705.0,1.6815809097688292,39.945366,-75.17953365
3022,8271,4919.0,1.6814393169343362,39.9546925,-75.1832927
3298,537,321.0,1.6728971962616823,39.94717,-75.20691
3359,9489,5686.0,1.6688357368976434,39.94888,-75.16978
3333,4494,2694.0,1.6681514476614698,39.9541,-75.16965
3077,1907,1148.0,1.661149825783972,39.97207,-75.16351
3248,3267,1975.0,1.6541772151898737,39.9421178,-75.1832865
3156,5087,3092.0,1.6452134540750325,39.95393935,-75.17404536
3031,2631,1605.0,1.639252336448598,39.98005,-75.15522
3157,4245,2599.0,1.6333205078876492,39.92572521,-75.15951458
3054,8403,5169.0,1.6256529309344168,39.96250674,-75.17419888
3323,684,423.0,1.6170212765957446,40.025427,-75.2266188
3279,1818,1132.0,1.6060070671378093,39.9265,-75.1668
3319,1568,979.0,1.6016343207354444,39.9661902,-75.1286832
3187,2599,1631.0,1.5935009196811771,39.957247,-75.1722954
3106,397,251.0,1.5816733067729083,39.99179,-75.18637
3316,1269,803.0,1.580323785803238,39.92255,-75.17337
3074,3294,2087.0,1.5783421178725443,39.95511,-75.20987
3005,2956,1876.0,1.575692963752665,39.94734549200867,-75.14402934
3046,6717,4296.0,1.5635474860335197,,
3182,4256,2731.0,1.558403515195899,39.95081,-75.16953
3102,6478,4167.0,1.554595632349412,39.9676485,-75.1796135
3349,2158,1399.0,1.54253037884203,39.93651,-75.18621
3059,7542,4903.0,1.5382418927187436,39.96287038,-75.16122553
3166,3074,1999.0,1.537768884442221,39.97195,-75.13445
3397,751,489.0,1.5357873210633948,39.93906,-75.17824
3201,4718,3076.0,1.533810143042913,39.9552818,-75.166123
3066,8398,5501.0,1.5266315215415378,39.94561,-75.17348
3104,2088,1368.0,1.5263157894736843,39.96664,-75.19209
3264,5228,3466.0,1.5083669936526256,39.94571,-75.15508
3233,836,555.0,1.5063063063063062,,
3341,1857,1234.0,1.504862236628849,39.98131,-75.12732
3099,2753,1830.0,1.5043715846994536,39.9339323,-75.1509772
3047,3276,2178.0,1.5041322314049588,39.95073718,-75.14947893
3343,1591,1063.0,1.4967074317968014,,
3304,5790,3871.0,1.4957375355205371,39.94234605,-75.15394721
3261,2873,1924.0,1.4932432432432432,39.96304,-75.14099
3033,4663,3127.0,1.4912056283978254,39.95005,-75.15672
3188,1682,1131.0,1.4871794871794872,39.90498568,-75.17351067
3334,2257,1522.0,1.4829172141918527,39.9302,-75.15636
3321,2401,1628.0,1.4748157248157248,39.95485,-75.17298
3014,1775,1210.0,1.466942148760331,39.95888036,-75.17368857
3184,1706,1167.0,1.4618680377035134,39.945988,-75.194296
3111,701,480.0,1.4604166666666667,39.97783605,-75.21321034
3209,2045,1404.0,1.4565527065527066,39.9489405,-75.2126842
3064,5310,3649.0,1.4551932036174295,39.93843702,-75.17327764
3062,2931,2016.0,1.4538690476190477,39.9519156,-75.1794573
3303,2003,1380.0,1.451449275362319,39.9559272,-75.205292
3301,6295,4357.0,1.4448014689006197,39.9502683,-75.1712454
3245,2908,2015.0,1.4431761786600497,39.97887,-75.15777
3021,4375,3048.0,1.4353674540682415,39.954204,-75.16978
3256,6363,4443.0,1.4321404456448346,39.9526782,-75.1777726
3010,13359,9352.0,1.428464499572284,39.947311,-75.166569
3154,4425,3102.0,1.4264990328820115,39.95924,-75.15821
3165,4699,3311.0,1.4192086982784655,39.9581833,-75.1780878
3100,5177,3652.0,1.417579408543264,39.928123,-75.150693
3266,2206,1559.0,1.4150096215522772,39.9237,-75.14701
3362,7521,5329.0,1.4113342090448489,39.9478946,-75.1624536
3113,437,310.0,1.4096774193548387,39.971728,-75.1959915
3322,3447,2458.0,1.402359641985354,39.93638,-75.15526
3265,1934,1380.0,1.401449275362319,39.95957,-75.19633
3169,3257,2331.0,1.3972543972543972,39.95382,-75.14263
3360,4106,2979.0,1.3783148707620008,39.93304625,-75.16822625
3061,6778,4919.0,1.3779223419394186,39.9542617,-75.17756
3396,533,388.0,1.3737113402061856,39.92327,-75.1821
3291,1006,733.0,1.3724420190995907,40.0100801,-75.1966898
3055,4180,3047.0,1.371841155234657,39.9512871,-75.1535469
3389,159,116.0,1.3706896551724137,39.94431,-75.18128
3346,3868,2824.0,1.3696883852691215,39.94899395,-75.15100906
3285,1468,1076.0,1.3643122676579926,39.95946,-75.14745
3331,1447,1061.0,1.3638077285579642,39.9709947,-75.1282398
3294,4722,3477.0,1.358067299396031,39.9517294,-75.1706197
3029,4921,3633.0,1.3545279383429671,39.9538,-75.19479
3314,2509,1859.0,1.3496503496503496,39.93682,-75.14492
3052,6797,5103.0,1.3319615912208504,39.9473232,-75.1569003
3205,4285,3222.0,1.32991930477964,39.9540842,-75.1678632
3296,6346,4783.0,1.3267823541710224,39.9513842,-75.167786
3210,2286,1724.0,1.325986078886311,39.98492,-75.15668
3382,3515,2655.0,1.3239171374764596,39.950399,-75.173042
3150,3161,2391.0,1.3220409870347134,39.92886791,-75.17022127
3398,113,86.0,1.313953488372093,39.91551,-75.15474
3400,226,173.0,1.30635838150289,39.949,-75.16081
3125,5124,3949.0,1.297543681944796,39.94393433,-75.1673685
3009,4979,3840.0,1.2966145833333331,39.95576,-75.18982
3207,4174,3224.0,1.294665012406948,39.95441,-75.192
3394,847,656.0,1.291158536585366,39.924,-75.16959
3335,839,652.0,1.2868098159509205,40.0223414,-75.2179922
3255,4866,3808.0,1.2778361344537814,39.95095,-75.16438
3263,1040,820.0,1.2682926829268293,39.9586,-75.2081
3292,943,751.0,1.255659121171771,39.92,-75.1562
3236,2175,1736.0,1.2528801843317972,39.96566,-75.17765
3327,446,356.0,1.252808988764045,39.97759,-75.12442
3057,5220,4167.0,1.2526997840172789,39.9655639,-75.1815121
3086,2634,2103.0,1.2524964336661912,39.94019,-75.16691
3155,3582,2865.0,1.250261780104712,39.9401229,-75.1544338
3295,7869,6297.0,1.2496426869938069,40.3313265,-75.914104
3158,2538,2056.0,1.2344357976653697,39.92552,-75.16904
3183,489,398.0,1.228643216080402,39.889898,-75.1767794
3203,5898,4812.0,1.2256857855361596,39.940899,-75.172899
3088,3366,2756.0,1.2213352685050798,39.96984,-75.1418
3069,3917,3208.0,1.2210099750623442,39.9370605,-75.1504476
3019,1450,1192.0,1.2164429530201342,39.95403,-75.14983
3267,1245,1026.0,1.213450292397661,39.918,-75.1796
3318,4619,3807.0,1.213291305489887,39.9518186,-75.16395445
3238,3975,3305.0,1.2027231467473525,39.94628,-75.15138
3078,4462,3744.0,1.1917735042735045,39.95370656,-75.17189687
3340,3665,3097.0,1.1834032935098482,39.969116,-75.181556
3068,3440,2938.0,1.170864533696392,39.93549,-75.16711
3297,2172,1857.0,1.1696284329563813,39.9581946,-75.1690371
3388,311,266.0,1.169172932330827,39.96634,-75.15097
3063,6524,5592.0,1.1666666666666667,39.946315,-75.169648
3197,2014,1731.0,1.1634893125361063,39.92083,-75.17033
3170,209,180.0,1.1611111111111112,,
3116,2620,2262.0,1.158267020335986,39.9605495,-75.1726581
3393,1154,1001.0,1.152847152847153,39.96727,-75.13999
3015,2391,2081.0,1.1489668428640076,39.94738064,-75.14885622
3007,6320,5505.0,1.148047229791099,39.94516911296436,-75.1599338
3375,2245,1956.0,1.1477505112474438,39.96082015,-75.14027273
3164,4160,3670.0,1.133514986376022,39.928497,-75.164981
3250,948,844.0,1.1232227488151658,39.95673,-75.14575
3162,3485,3114.0,1.1191393705844572,39.94620737,-75.18490198
3373,3069,2743.0,1.1188479766678818,39.95817,-75.15668
3056,1891,1704.0,1.1097417840375587,39.97669,-75.15813
3049,3422,3089.0,1.1078018776303011,39.94509,-75.1425
3030,5553,5014.0,1.1074990027921818,39.93935,-75.15716
3300,2135,1944.0,1.0982510288065843,39.95511,-75.16287
3311,512,469.0,1.091684434968017,,
3181,333,308.0,1.0811688311688312,39.8968043,-75.17506468
3185,6339,5930.0,1.0689713322091063,39.95169,-75.15888
3363,4741,4470.0,1.0606263982102908,39.9466989,-75.16260232
3041,2786,2652.0,1.05052790346908,39.96850409,-75.13545904
3313,713,682.0,1.0454545454545454,39.9158,-75.1643
3110,2231,2158.0,1.0338276181649677,39.96175,-75.13641
3385,200,195.0,1.0256410256410255,39.94974,-75.15424
3018,4669,4563.0,1.0232303309226387,39.9528112,-75.1599914
3299,3403,3373.0,1.008894159501927,39.94332,-75.15698
3410,6,6.0,1.0,39.94270028,-75.2186855
3378,1482,1485.0,0.997979797979798,39.9523801,-75.1472627
3371,2702,2720.0,0.9933823529411764,39.9534062,-75.1543217
3163,5831,5922.0,0.9846335697399528,39.9496367,-75.1810572
3244,6880,7068.0,0.973401245048104,39.93865,-75.16674
3383,2124,2227.0,0.9537494387067804,39.96694661,-75.14209767
3037,3683,3920.0,0.9395408163265306,39.955107,-75.1602358
3101,6355,6784.0,0.9367629716981132,39.94302384,-75.1595674
3124,3093,3318.0,0.9321880650994576,39.9530994,-75.1386646
3275,1406,1518.0,0.9262187088274044,39.97576,-75.12157
3369,1261,1363.0,0.92516507703595,40.00772,-75.19194
3060,1437,1556.0,0.9235218508997428,39.9594166,-75.1703315
3237,1140,1238.0,0.9208400646203554,39.91717,-75.17096
3098,2978,3259.0,0.9137772322798404,39.93431,-75.16042
3259,807,888.0,0.9087837837837838,39.95998,-75.19883
3347,2291,2587.0,0.8855817549284886,39.95484,-75.15449
3034,4514,5181.0,0.8712603744450879,39.93315,-75.16248
3395,932,1076.0,0.8661710037174721,39.93866,-75.16351
3096,226,263.0,0.8593155893536122,39.99119,-75.17975
3377,553,645.0,0.8573643410852713,,
3093,540,646.0,0.8359133126934984,39.98837,-75.18701
3370,883,1057.0,0.8353831598864712,40.0166353,-75.2139046
3212,3892,4715.0,0.8254506892895016,39.9636713,-75.181591
3355,562,706.0,0.7960339943342776,,
3308,965,1224.0,0.7883986928104575,,
3344,472,602.0,0.7840531561461794,39.95961,-75.23354
3324,1069,1385.0,0.771841155234657,39.99484,-75.19242
3025,3559,4711.0,0.7554659308002547,39.93724,-75.1612
3328,1670,2372.0,0.7040472175379426,39.98798,-75.1995
3356,362,543.0,0.6666666666666666,39.8933715,-75.1720359
3405,69,105.0,0.6571428571428571,39.94167,-75.16502
3326,536,857.0,0.6254375729288215,39.99198,-75.19944
3354,183,362.0,0.505524861878453,39.95628,-75.2387
3411,10,27.0,0.3703703703703703,39.96693,-75.23359
